"method" "nvar" "nerrors" "errorloc" "weight" "degeneracy" "user" "system" "elapsed" "maxDurationExceeded" "memfail"
"mip" 14 6 "end" 6 NA 0.0199999999999996 0 0.0199999999999996 FALSE FALSE
"mip" 14 6 "middle" 6 NA 0 0.02 0.00999999999999979 FALSE FALSE
"mip" 14 7 "begin" 7 NA 0.0199999999999996 0 0.00999999999999979 FALSE FALSE
"mip" 14 7 "end" 7 NA 0.0299999999999994 0 0.0399999999999991 FALSE FALSE
"mip" 14 7 "middle" 7 NA 0.00999999999999979 0 0.00999999999999979 FALSE FALSE
"mip" 14 8 "begin" 8 NA 0.0199999999999996 0 0.00999999999999979 FALSE FALSE
"mip" 14 8 "end" 8 NA 0.00999999999999979 0.01 0.0300000000000011 FALSE FALSE
"mip" 14 8 "middle" 8 NA 0.0200000000000014 0 0.0199999999999996 FALSE FALSE
"mip" 14 9 "begin" 9 NA 0.00999999999999979 0 0.00999999999999979 FALSE FALSE
"mip" 14 9 "end" 9 NA 0.0300000000000011 0 0.0300000000000011 FALSE FALSE
"mip" 14 9 "middle" 9 NA 0.0199999999999996 0 0.0199999999999996 FALSE FALSE
"mip" 14 10 "begin" 10 NA 0.0200000000000014 0 0.00999999999999979 FALSE FALSE
"mip" 14 10 "end" 10 NA 0.0299999999999994 0 0.0299999999999994 FALSE FALSE
"mip" 14 10 "middle" 0 NA 0.0199999999999996 0 0.0199999999999996 FALSE FALSE
"mip" 15 1 "begin" 1 NA 0.0199999999999996 0 0.00999999999999979 FALSE FALSE
"mip" 15 1 "end" 1 NA 0.0299999999999994 0 0.0299999999999994 FALSE FALSE
"mip" 15 1 "middle" 1 NA 0.0200000000000014 0 0.0200000000000014 FALSE FALSE
"mip" 15 2 "begin" 2 NA 0.0199999999999996 0 0.0199999999999996 FALSE FALSE
"mip" 15 2 "end" 2 NA 0.0300000000000011 0 0.0300000000000011 FALSE FALSE
"mip" 15 2 "middle" 2 NA 0.0199999999999996 0 0.0199999999999996 FALSE FALSE
"mip" 15 3 "begin" 3 NA 0.00999999999999979 0 0.0199999999999996 FALSE FALSE
"mip" 15 3 "end" 3 NA 0.00999999999999979 0 0.0199999999999996 FALSE FALSE
"mip" 15 3 "middle" 3 NA 0.0299999999999994 0 0.0299999999999994 FALSE FALSE
"mip" 15 4 "begin" 4 NA 0.0299999999999994 0 0.0299999999999994 FALSE FALSE
"mip" 15 4 "end" 4 NA 0.00999999999999979 0 0.0199999999999996 FALSE FALSE
"mip" 15 4 "middle" 4 NA 0.0299999999999994 0 0.0300000000000011 FALSE FALSE
"mip" 15 5 "begin" 5 NA 0.0399999999999991 0 0.0300000000000011 FALSE FALSE
"mip" 15 5 "end" 5 NA 0.00999999999999979 0 0.0199999999999996 FALSE FALSE
"mip" 15 5 "middle" 5 NA 0.00999999999999979 0 0.0199999999999996 FALSE FALSE
"mip" 15 6 "begin" 6 NA 0.0200000000000014 0 0.00999999999999979 FALSE FALSE
"mip" 15 6 "end" 6 NA 0.0299999999999994 0 0.0299999999999994 FALSE FALSE
"mip" 15 6 "middle" 6 NA 0.00999999999999979 0 0.0199999999999996 FALSE FALSE
"mip" 15 7 "begin" 7 NA 0.00999999999999979 0 0.00999999999999979 FALSE FALSE
"mip" 15 7 "end" 7 NA 0.0199999999999996 0 0.0100000000000016 FALSE FALSE
"mip" 15 7 "middle" 7 NA 0.00999999999999979 0 0.0199999999999996 FALSE FALSE
"mip" 15 8 "begin" 8 NA 0.00999999999999979 0.02 0.0300000000000011 FALSE FALSE
"mip" 15 8 "end" 8 NA 0.0199999999999996 0 0.00999999999999979 FALSE FALSE
"mip" 15 8 "middle" 8 NA 0.0100000000000016 0.01 0.0299999999999994 FALSE FALSE
